ticket,type,entry_time,exit_time,entry_price,exit_price,pnl,exit_reason,magic,basket_layers
170,BUY,2026-08-10 20:34:00,2026-08-10 20:37:00,1896.98,1903.98,0.6000000000000001,Basket TP,20260803,2
171,BUY,2026-08-10 20:40:00,2026-08-11 17:05:00,1899.98,1886.98,-1.4000000000000001,Basket TP,20260802,4
172,BUY,2026-08-10 21:54:00,2026-08-11 17:05:00,1889.98,1886.98,-0.4,Basket TP,20260802,4
173,BUY,2026-08-10 22:12:00,2026-08-11 17:05:00,1879.98,1886.98,0.6000000000000001,Basket TP,20260802,4
174,BUY,2026-08-10 22:25:00,2026-08-11 17:05:00,1869.98,1886.98,1.6,Basket TP,20260802,4
175,SELL,2026-08-11 17:15:00,2026-08-11 17:22:00,1882.9,1880.9,0.1,Basket TP,20260802,1
176,SELL,2026-08-11 18:30:00,2026-08-11 19:26:00,1889.55,1887.55,0.1,Basket TP,20260803,1
177,SELL,2026-08-12 03:15:00,2026-08-12 03:16:00,1880.45,1878.45,0.1,Basket TP,20260802,1
178,SELL,2026-08-12 03:17:00,2026-08-12 21:00:00,1878.37,1896.37,-1.9000000000000001,Basket TP,20260802,5
179,SELL,2026-08-12 11:21:00,2026-08-12 21:00:00,1888.37,1896.37,-0.9,Basket TP,20260802,5
180,SELL,2026-08-12 16:25:00,2026-08-12 21:00:00,1898.37,1896.37,0.1,Basket TP,20260802,5
181,SELL,2026-08-12 17:02:00,2026-08-12 21:00:00,1908.37,1896.37,1.1,Basket TP,20260802,5
182,SELL,2026-08-12 19:29:00,2026-08-12 21:00:00,1918.37,1896.37,2.1,Basket TP,20260802,5
183,BUY,2026-08-12 21:10:00,2026-08-12 21:11:00,1893.37,1897.95,0.35800000000001553,Basket TP,20260802,1
184,BUY,2026-08-12 21:12:00,2026-08-13 11:47:00,1900.02,1892.02,-0.9,Basket TP,20260802,3
185,BUY,2026-08-12 21:29:00,2026-08-13 11:47:00,1890.02,1892.02,0.1,Basket TP,20260802,3
186,BUY,2026-08-13 02:24:00,2026-08-13 11:47:00,1880.02,1892.02,1.1,Basket TP,20260802,3
187,SELL,2026-08-13 12:00:00,2026-08-13 15:49:00,1889.84,1887.84,0.1,Basket TP,20260802,1
188,SELL,2026-08-13 19:40:00,2026-08-13 22:27:00,1883.81,1886.81,-0.4,Basket TP,20260802,2
189,SELL,2026-08-13 21:33:00,2026-08-13 22:27:00,1893.81,1886.81,0.6000000000000001,Basket TP,20260802,2
